Format,OpenTRACK,,,,,,
Name,Portaria,,,,,,
Country,Greece,,,,,,
City,Volos,,,,,,
Type,Hillclimb,,,,,,
Config,Open,,,,,,
Direction,Forward,,,,,,
Mirror,On,,,,,,
Export Frequency,20,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
km,km/h,deg/s,G,m,deg,,
,,,,,,,
0.333,37.581001,62.813038,1.337594,391,0,1,1
0.334,36.374001,69.431847,1.383143,391,0,1,1
0.335,35.456001,75.143547,1.415647,391,0,1,1
0.336,35.271,78.287483,1.423964,391,0,1,1
0.337,35.966,77.427132,1.401613,391,0,1,1
0.338,37.278004,73.032318,1.35113,391,0,1,1
0.339,39.119999,66.207237,1.280254,391,0,1,1
0.34,41.575001,58.209209,1.196956,391,0,1,1
0.342,44.150002,50.534325,1.113263,391,0,1,1
0.343,46.903,44.119488,1.039537,391,0,1,1
0.345,49.684002,38.941784,0.977883,391,0,1,1
0.346,52.532001,34.865532,0.92886,391,0,1,1
0.348,55.416,31.629238,0.888938,391,0,1,1
0.349,58.299999,29.107077,0.857836,391,0,1,1
0.351,61.077999,27.034576,0.829628,391,0,1,1
0.353,63.750004,25.128,0.801867,391,0,1,1
0.355,66.324997,23.31035,0.770555,391,0,1,1
0.357,68.888,21.470697,0.732998,390.880005,0,1,1
0.359,71.345001,19.43326,0.6827,390,0,1,1
0.361,73.695999,17.181305,0.620357,390,0,1,1
0.363,75.919998,14.769382,0.547588,390,0,1,1
0.365,78.037003,12.204136,0.46487,390,0,1,1
0.368,80.019997,9.601762,0.3769,390,0,1,1
0.37,82.022003,7.138731,0.289,390,0,1,1
0.372,83.875999,4.998848,0.209144,390,0,1,1
0.375,85.764999,3.207095,0.139191,390,0,1,1
0.377,87.683998,1.779742,0.08029,390,0,1,1
0.38,89.497002,0.688601,0.032351,390,0,1,1
0.382,91.335999,-0.171523,-0.00826,390,0,1,1
0.385,93.181999,-0.953496,-0.046907,390,0,1,1
0.388,94.785995,-1.778555,-0.088167,390,0,1,1
0.39,96.279999,-2.699871,-0.135138,390,0,1,1
0.393,97.550003,-3.792158,-0.190942,389.450012,0,1,1
0.396,98.522003,-5.052207,-0.254661,389.579987,0,1,1
0.399,99.326996,-6.416075,-0.322517,390,0,1,1
0.402,99.919998,-7.823489,-0.392259,390,0,1,1
0.405,100.301003,-9.224485,-0.46079,390,0,1,1
0.408,100.610001,-10.569102,-0.523943,390,0,1,1
0.41,100.627998,-11.729685,-0.576598,390,0,1,1
0.413,100.675003,-12.650085,-0.617884,390,0,1,1
0.416,101.012001,-13.28538,-0.64701,390,0,1,1
0.419,101.423996,-13.629156,-0.663459,390.809998,0,1,1
0.422,102.088005,-13.604403,-0.664396,391,0,1,1
0.425,102.896004,-13.290652,-0.653555,391,0,1,1
0.428,103.900002,-12.750926,-0.6342,391.899994,0,1,1
0.431,105.116005,-12.035187,-0.60733,392,0,1,1
0.434,106.543999,-11.215399,-0.573641,392,0,1,1
0.437,107.887001,-10.184992,-0.530042,392.98999,0,1,1
0.44,109.113998,-8.92288,-0.472849,393,0,1,1
0.443,110.571999,-7.428378,-0.40215,393,0,1,1
0.447,112.447006,-5.74434,-0.319381,393.070007,0,1,1
0.45,114.540001,-3.945711,-0.225867,394,0,1,1
0.453,116.021004,-2.107433,-0.122716,394,0,1,1
0.456,117.676003,-0.286115,-0.013282,394,0,1,1
0.46,118.733002,1.572561,0.103463,394.190002,0,1,1
0.463,119.454002,3.533451,0.226963,395,0,1,1
0.467,119.949997,5.59862,0.358335,395,0,1,1
0.47,119.556999,7.778152,0.499037,395,0,1,1
0.474,118.599998,10.291144,0.645863,395,0,1,1
0.477,117.471001,12.781907,0.782448,395.329987,0,1,1
0.48,115.987999,14.784051,0.894419,396,0,1,1
0.483,114.431999,16.160755,0.972402,396,0,1,1
0.487,113.154007,17.182682,1.015497,396,0,1,1
0.49,111.860001,17.781996,1.0302,396.450012,0,1,1
0.493,110.576004,17.912859,1.024433,397,0,1,1
0.496,109.288002,17.842041,1.010654,397,0,1,1
0.499,108.223007,17.650444,0.988921,397.529999,0,1,1
0.502,107.240005,17.343567,0.960037,398,0,1,1
0.505,106.092003,16.766254,0.917241,398,0,1,1
0.508,104.793999,15.745703,0.85182,398,0,1,1
0.511,103.389999,14.56541,0.776641,398.649994,0,1,1
0.514,101.744003,13.385117,0.700061,399,0,1,1
0.517,99.709,12.107192,0.622805,399,0,1,1
0.52,97.619995,10.887021,0.549117,399,0,1,1
0.523,95.559998,9.812611,0.481816,399,0,1,1
0.525,93.283005,8.874564,0.422347,399,0,1,1
0.528,91.323997,7.935142,0.364969,399.820007,0,1,1
0.53,89.385002,6.796102,0.304067,400,0,1,1
0.533,87.515999,5.39396,0.23507,400,0,1,1
0.535,86.026001,3.662023,0.156131,400,0,1,1
0.538,84.584,1.611522,0.067059,400,0,1,1
0.54,83.141998,-0.799255,-0.034001,400,0,1,1
0.543,81.900002,-3.482761,-0.142123,400,0,1,1
0.545,80.552002,-6.315464,-0.252966,400,0,1,1
0.547,78.925003,-9.111498,-0.359195,400,0,1,1
0.549,77.372002,-11.735186,-0.457852,400,0,1,1
0.551,75.723999,-14.096689,-0.542068,400.109985,0,1,1
0.554,74.090004,-16.249178,-0.615653,401,0,1,1
0.556,72.528,-18.248112,-0.680106,401,0,1,1
0.558,70.920006,-20.066452,-0.737127,401,0,1,1
0.56,69.478004,-21.752781,-0.787157,401,0,1,1
0.562,68.062004,-23.280973,-0.831948,401.26001,0,1,1
0.564,66.723,-24.700993,-0.872565,402,0,1,1
0.565,65.384003,-26.026129,-0.910275,402,0,1,1
0.567,64.092003,-27.18717,-0.943862,402,0,1,1
0.569,62.819,-28.207035,-0.973772,402,0,1,1
0.571,61.560001,-29.160439,-1.002253,402,0,1,1
0.573,60.384003,-30.167698,-1.031959,402.429993,0,1,1
0.574,59.056,-31.324841,-1.064864,403,0,1,1
0.576,57.515999,-32.723087,-1.103435,403,0,1,1
0.577,55.972,-34.495819,-1.15075,403,0,1,1
0.579,54.584999,-36.80484,-1.209574,402.450012,0,1,1
0.581,53.072002,-39.750072,-1.280929,402,0,1,1
0.582,51.439999,-43.378956,-1.36387,402,0,1,1
0.583,49.917999,-47.85009,-1.459717,402,0,1,1
0.585,48.278,-53.262249,-1.56478,402,0,1,1
0.586,46.458,-59.116962,-1.667159,402,0,1,1
0.587,44.892002,-64.688408,-1.75409,402,0,1,1
0.589,43.675003,-69.292694,-1.815413,402,0,1,1
0.59,42.854,-72.230362,-1.842895,402,0,1,1
0.591,42.619003,-72.634865,-1.827344,402,0,1,1
0.592,43.104,-71.141289,-1.782056,402,0,1,1
0.594,43.888,-68.655106,-1.722237,402.859985,0,1,1
0.595,44.711998,-65.664497,-1.656471,403,0,1,1
0.596,45.628002,-62.577171,-1.591343,403,0,1,1
0.598,47.030003,-59.593662,-1.531199,403,0,1,1
0.599,48.667999,-56.462105,-1.473337,403,0,1,1
0.6,50.419003,-53.065609,-1.41427,403,0,1,1
0.602,52.380001,-49.421139,-1.353775,403.040009,0,1,1
0.603,54.467999,-45.538548,-1.290623,404,0,1,1
0.605,56.950001,-41.513405,-1.225571,404,0,1,1
0.607,59.512001,-37.65213,-1.160564,404,0,1,1
0.609,62.204998,-33.936615,-1.095207,404,0,1,1
0.61,64.986,-30.504826,-1.031761,404,0,1,1
0.612,67.704002,-27.471128,-0.970202,404,0,1,1
0.614,70.223999,-24.933382,-0.912544,404,0,1,1
0.616,72.794006,-22.76004,-0.858607,404,0,1,1
0.619,74.910004,-20.944223,-0.809017,404,0,1,1
0.621,76.561996,-19.445824,-0.763436,404,0,1,1
0.623,78.003998,-18.239403,-0.723947,404,0,1,1
0.625,79.329002,-17.3284,-0.691641,404,0,1,1
0.628,80.450996,-16.632143,-0.66604,404,0,1,1
